host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,Smoke alarm,Carbon monoxide alarm,Essentials,Kitchen,Hot water,Hangers,Dishes and silverware,Hair dryer,Wifi,Microwave,Iron,Cooking basics,Refrigerator,Bed linens,Self check-in,Shampoo,Fire extinguisher,Free street parking,Private entrance,Extra pillows and blankets,Dedicated workspace,First aid kit,Freezer,Dishwasher,Toaster,Heating,Free parking on premises,Long term stays allowed,Oven,Wine glasses,Entire home/apt,Hotel room,Private room,Shared room
29,1.0,1,32.75522,-117.12873,6,2.0,3.0,3.0,199.0,1,30,1,1,14,14,275,153,4.81,0,1,0.78,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
48669,0.9,2,32.80533,-117.234,2,1.0,1.0,0.0,96.0,6,365,1,5,17,17,162,2,5.0,0,2,0.01,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
129123,0.77,9,32.80751,-117.2576,6,2.0,2.0,3.0,227.0,4,365,1,3,22,47,322,107,4.77,0,5,0.63,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
252692,0.78,2,32.81301,-117.26856,2,1.0,2.0,3.0,191.0,4,30,1,1,7,20,49,330,4.93,0,1,2.01,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
21532,0.97,2,32.80621,-117.23372,2,1.0,0.0,0.0,115.0,1,4,1,6,20,41,41,1082,4.86,0,2,7.51,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
401936,0.0,3,32.74699,-117.14243,2,1.0,1.0,1.0,45.0,31,1825,1,0,0,0,37,196,4.83,0,2,1.25,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
417659,1.0,1,32.749096,-117.191025,1,1.0,1.0,1.0,55.0,31,120,1,0,0,0,81,20,4.85,0,1,0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
401936,0.0,3,32.74715,-117.1428,2,1.0,1.0,1.0,50.0,31,1825,1,0,0,0,38,162,4.81,0,2,1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
507423,1.0,9,32.74779,-117.1648,2,1.0,1.0,1.0,196.0,31,365,1,3,14,39,105,89,4.96,1,9,0.56,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
546519,1.0,2,32.79783,-117.25416,7,2.5,3.0,5.0,421.0,6,365,1,10,10,11,36,164,4.76,0,2,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
546519,1.0,2,32.80751,-117.25728,8,2.0,3.0,6.0,673.0,6,90,1,7,17,19,287,202,4.72,0,2,1.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
555739,1.0,9,32.80934,-117.25913,2,1.0,0.0,1.0,95.0,31,1120,1,0,24,54,329,40,4.78,0,1,0.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0
721326,0.96,5,32.79993,-117.20067,1,1.0,1.0,1.0,76.0,3,93,1,10,37,67,156,259,4.93,0,2,1.65,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
790976,1.0,2,32.75314,-117.15142,2,1.0,0.0,1.0,150.0,3,14,1,2,6,13,222,741,4.98,1,2,4.72,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
721326,0.96,5,32.80135,-117.20282,1,1.0,1.0,1.0,81.0,3,93,1,24,54,84,173,144,4.88,0,2,0.99,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
816767,0.97,1,32.94568,-117.23229,6,2.0,3.0,3.0,131.0,30,300,1,0,5,7,150,78,4.58,0,1,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0
2139569,0.0,2,32.77361,-117.2004,4,1.0,0.0,2.0,100.0,31,180,1,24,54,84,123,259,4.81,0,1,1.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0
874515,0.88,39,32.76411,-117.25139,4,1.0,0.0,2.0,174.0,31,730,1,20,50,80,355,20,4.55,0,30,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
874971,0.86,1,32.74316,-117.16748,4,1.0,2.0,4.0,210.0,2,7,1,0,5,5,5,261,4.94,0,1,1.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
883704,1.0,2,32.74109,-117.24503,4,1.5,1.0,2.0,174.0,2,29,1,3,14,39,306,602,4.92,0,1,3.84,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0
915738,1.0,1,32.81041,-117.26637,2,1.0,1.0,1.0,110.0,31,1125,1,3,24,54,144,42,4.98,0,1,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0
918513,1.0,1,32.84006,-117.26922,14,4.0,5.0,9.0,836.0,3,28,1,7,15,30,237,288,4.89,0,1,1.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
1090651,1.0,1,32.76757,-117.25103,4,1.0,2.0,3.0,271.0,3,60,1,2,6,7,128,247,4.89,0,1,1.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0
1291828,0.64,7,32.79579,-117.17383,2,1.0,1.0,1.0,85.0,31,360,1,0,7,37,312,62,4.82,0,6,0.45,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1501859,0.99,4,32.74277,-117.17735,1,1.0,1.0,1.0,83.0,2,10,1,7,24,37,37,438,4.86,0,2,2.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
466847,0.53,4,32.75031,-117.23056,4,2.0,2.0,2.0,134.0,30,90,1,3,20,46,175,61,4.59,0,1,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
1502676,0.98,16,32.75906,-117.14445,5,1.0,2.0,2.0,294.0,2,1125,1,0,0,16,51,342,4.9,0,5,2.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
384706,1.0,1,32.73464,-117.16452,4,1.0,1.0,1.0,121.0,31,365,1,0,0,0,237,67,4.72,0,1,0.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
1657242,1.0,1,32.72237,-117.1652,4,2.0,2.0,2.0,225.0,31,365,1,0,0,0,81,2,5.0,0,1,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
1012168,1.0,1,32.75152,-117.24682,2,1.0,1.0,1.0,216.0,2,29,1,0,0,27,27,376,4.91,0,1,2.77,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
1821106,0.8,1,32.75568,-117.14679,2,1.0,1.0,1.0,112.0,31,1125,1,0,2,9,262,93,4.85,0,1,0.62,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0
1852011,0.99,2,32.81801,-117.16826,4,1.0,1.0,2.0,130.0,3,18,1,11,28,52,52,373,4.9,0,2,2.53,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1402683,0.6,9,32.7924,-117.23138,5,2.0,2.0,2.0,350.0,3,90,1,24,41,41,130,23,4.57,0,1,0.16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1486293,0.6,2,32.75711,-117.22541,2,1.0,1.0,1.0,55.0,31,365,1,23,30,36,213,92,4.95,0,1,0.62,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0
1972369,1.0,4,32.802494,-117.25676,3,1.0,1.0,1.0,177.0,31,1125,1,0,0,22,297,159,4.74,1,1,1.09,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
1974643,0.44,5,32.79069,-117.25314,6,2.0,2.0,4.0,411.0,2,300,1,30,60,90,365,78,4.75,0,1,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
1980775,1.0,1,32.74359,-117.17584,1,1.0,1.0,1.0,99.0,3,30,1,9,27,50,325,267,4.79,0,1,1.83,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2003694,0.95,3,32.75103,-117.24745,2,1.0,1.0,1.0,129.0,2,730,1,0,8,17,188,89,4.91,0,3,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2165667,1.0,3,32.74966,-117.14462,4,1.0,0.0,2.0,120.0,1,8,1,4,34,59,334,654,4.81,0,2,5.4,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
2205580,0.91,2,32.80279,-117.18976,2,1.0,1.0,1.0,126.0,7,180,1,0,7,36,36,186,4.88,0,2,1.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0
2315442,1.0,10,32.72699,-117.16578,3,0.5,1.0,1.0,78.0,1,28,1,10,24,54,54,808,4.66,0,8,5.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
2315442,1.0,10,32.72857,-117.16604,3,1.0,1.0,1.0,83.0,1,28,1,10,23,53,53,739,4.56,0,8,5.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
2315442,1.0,10,32.72839,-117.16589,2,1.0,1.0,1.0,78.0,1,28,1,29,57,87,87,918,4.75,0,8,6.28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
2342941,0.33,1,32.82787,-117.27975,10,4.0,5.0,5.0,1083.0,3,365,1,0,10,33,198,47,4.93,0,1,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0
2325333,1.0,7,32.72065,-117.13006,2,1.0,1.0,1.0,88.0,2,1125,1,6,11,18,261,433,4.81,0,1,3.08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2385909,0.99,5,32.766686193501634,-117.1896602,10,2.0,3.0,5.0,323.0,2,29,1,10,40,69,69,386,4.81,0,5,2.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0
2471170,0.86,5,32.7264,-117.12624,5,2.0,3.0,3.0,226.0,4,45,1,6,10,13,31,67,4.82,0,2,0.46,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0
2498685,1.0,4,32.71941,-117.129,2,1.0,0.0,2.0,75.0,31,360,1,0,0,23,172,330,4.73,0,1,2.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0
2558457,0.95,5,32.78917,-117.23352,2,1.5,1.0,4.0,159.0,3,30,1,2,2,16,271,170,4.88,0,1,1.23,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
2594906,1.0,3,32.73608,-117.16177,2,1.0,1.0,1.0,99.0,31,365,1,0,1,24,219,45,4.84,0,1,0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0
2740315,1.0,1,32.80574591854606,-117.1954564,6,1.0,2.0,3.0,271.0,3,365,1,8,30,60,335,215,4.96,0,1,1.48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
470998,0.64,4,32.81561,-117.26318,11,3.0,4.0,5.0,728.0,1,1125,1,2,13,35,297,299,4.86,0,1,2.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
2833833,1.0,7,32.80451,-117.25308,2,1.0,1.0,1.0,166.0,2,120,1,8,27,47,47,793,4.87,0,5,5.47,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
2885527,0.91,7,32.76731,-117.125,8,2.0,4.0,5.0,229.0,4,60,1,1,3,7,97,177,4.65,0,3,1.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0
2886419,0.98,2,32.72963,-117.12269,2,1.0,1.0,1.0,130.0,1,60,1,8,11,30,265,674,4.9,0,1,4.66,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
266381,1.0,1,32.73408,-117.25157,12,4.0,5.0,7.0,679.0,4,28,1,2,3,18,266,96,4.82,0,1,0.94,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
2315442,1.0,10,32.72781,-117.16383,2,1.0,1.0,1.0,83.0,1,28,1,12,40,70,70,1058,4.69,0,8,7.38,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
2919820,1.0,2,32.82898,-117.27846,4,2.0,2.0,2.0,360.0,3,90,1,0,0,0,0,107,4.91,1,2,1.09,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0
2919820,1.0,2,32.82901,-117.27849,4,2.0,2.0,2.0,360.0,3,90,1,0,0,0,0,112,4.96,0,2,1.16,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0
2954330,1.0,2,32.74259,-117.17566,1,0.5,1.0,1.0,132.0,31,1125,1,30,60,90,365,18,5.0,0,1,0.39,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2315442,1.0,10,32.72784,-117.16398,2,0.5,1.0,1.0,63.0,1,28,1,3,21,51,51,651,4.62,1,8,4.5,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
2315442,1.0,10,32.72636,-117.16461,2,1.0,1.0,0.0,73.0,1,28,1,8,27,52,52,786,4.6,1,8,5.43,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
3006274,0.94,2,32.74323,-117.17623,5,2.0,2.0,2.0,159.0,32,100,1,0,6,36,311,217,4.88,0,2,1.61,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
3310631,0.99,5,32.72266,-117.12402,3,1.0,1.0,2.0,152.0,2,1125,1,23,50,80,355,296,4.84,1,3,2.08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0
2315442,1.0,10,32.72632,-117.16597,2,3.0,10.0,1.0,64.0,1,28,1,13,38,68,68,681,4.63,1,8,4.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
129123,0.77,9,32.80756,-117.25728,10,3.0,5.0,6.0,465.0,31,365,1,14,34,64,339,8,4.5,0,5,0.06,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
3547828,0.33,25,32.7159,-117.14481,2,1.0,1.0,1.0,99.0,31,365,1,30,60,90,365,1,5.0,0,23,0.02,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3634860,0.24,9,32.70958,-117.16148,3,2.0,2.0,1.0,140.0,31,672,1,24,29,59,334,2,5.0,0,1,0.02,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
3736562,0.99,6,32.79429,-117.24269,2,1.0,1.0,1.0,219.0,1,1125,1,8,29,53,328,158,4.83,0,6,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0
